id,Name,Parent_id,active,Level,JetTaxCode
13000615,Doormats,13000501,1,2,Generic Taxable Product
13000616,Rug Pads,13000501,1,2,Generic Taxable Product
13000617,Runners,13000501,1,2,Generic Taxable Product
13000618,Stair Treads,13000501,1,2,Generic Taxable Product
13000619,Curtains,13000502,1,2,Generic Taxable Product
13000620,Valances,13000502,1,2,Generic Taxable Product
13000621,Blinds,13000502,1,2,Generic Taxable Product
13000622,Shades,13000502,1,2,Generic Taxable Product
13000623,Shutters,13000502,1,2,Generic Taxable Product
13000624,Racks & Shelves,13000262,1,2,Generic Taxable Product
13000625,Carts & Drawer Units,13000262,1,2,Generic Taxable Product
13000626,Storage Chests & Trunks,13000262,1,2,Generic Taxable Product
13000627,Toy Bags,13000262,1,2,Generic Taxable Product
13000628,Storage Caddies,13000262,1,2,Generic Taxable Product
13000629,Shoe Racks,13000262,1,2,Generic Taxable Product
13000630,Storage Bags,13000262,1,2,Generic Taxable Product
13000631,Closet Kits,13000262,1,2,Generic Taxable Product
13000632,Garment Racks,13000262,1,2,Generic Taxable Product
13000633,Drying Racks,13000262,1,2,Generic Taxable Product
13000634,Clotheslines & Clothespins,13000262,1,2,Generic Taxable Product
13000635,Hangers,13000262,1,2,Generic Taxable Product
13000636,Laundry Hampers & Bags,13000262,1,2,Generic Taxable Product
13000637,Bike Racks,13000262,1,2,Generic Taxable Product
13000638,Storage Boxes,13000262,1,2,Generic Taxable Product
13000639,Pots,13000503,1,2,Generic Taxable Product
13000640,Baking Sheets,13000503,1,2,Generic Taxable Product
13000641,"Pans, Woks & Skillets",13000503,1,2,Generic Taxable Product
13000642,Bakers,13000503,1,2,Generic Taxable Product
13000643,Dutch Ovens & Roasters,13000503,1,2,Generic Taxable Product
13000644,Pressure Cookers,13000503,1,2,Generic Taxable Product
13000645,Specialty Cookware,13000503,1,2,Generic Taxable Product
13000646,Kitchen Knives & Sharpeners,13000503,1,2,Generic Taxable Product
13000647,Knife Blocks,13000503,1,2,Generic Taxable Product
13000648,Water Coolers,13000503,1,2,Generic Taxable Product
13000649,Water Filters,13000503,1,2,Generic Taxable Product
13000650,Aprons,13000503,1,2,Generic Taxable Product
13000651,Oven Mitts,13000503,1,2,Generic Taxable Product
13000652,"Choppers, Graters & Slicers",13000503,1,2,Generic Taxable Product
13000653,Colanders & Strainers,13000503,1,2,Generic Taxable Product
13000654,Cutting Boards,13000503,1,2,Generic Taxable Product
13000655,Measuring Cups & Spoons,13000503,1,2,Generic Taxable Product
13000656,Mixing & Prep Bowls,13000503,1,2,Generic Taxable Product
13000657,Timers,13000503,1,2,Generic Taxable Product
13000658,"Utensils, Tongs & Whisks",13000503,1,2,Generic Taxable Product
13000659,Placemats,13000504,1,2,Generic Taxable Product
13000660,Cloth Napkins,13000504,1,2,Generic Taxable Product
13000661,Kitchen Linen Sets,13000504,1,2,Generic Taxable Product
13000662,Tablecloths & Table Runners,13000504,1,2,Generic Taxable Product
13000663,Serveware,13000504,1,2,Generic Taxable Product
13000664,Salt & Pepper Shakers,13000504,1,2,Generic Taxable Product
13000665,Flatware,13000504,1,2,Generic Taxable Product
13000666,Dinnerware Sets,13000504,1,2,Generic Taxable Product
